x,y,date,cell,polyclass,bleu,vert,rouge,pir,pre_abs
542515,4797145,20170314,45982,ht,0.0302,0.0397,0.0272,0,abs
542525,4797145,20170314,45983,ht,0.0289,0.0414,0.0275,0,abs
542535,4797145,20170314,45984,ht,0.0281,0.0425,0.0266,0,abs
542545,4797145,20170314,45985,ht,0.0265,0.0439,0.0284,0,abs
542555,4797145,20170314,45986,ht,0.0292,0.0448,0.0289,0,abs
542565,4797145,20170314,45987,ht,0.0292,0.044,0.029,0,abs
542575,4797145,20170314,45988,ht,0.0261,0.0403,0.0256,0,abs
542465,4797135,20170314,46404,ht,0.0297,0.0436,0.0293,0,abs
542475,4797135,20170314,46405,ht,0.0281,0.0455,0.029,0,abs
542485,4797135,20170314,46406,ht,0.0294,0.044,0.0265,0,abs
542495,4797135,20170314,46407,ht,0.0271,0.0394,0.0238,0,abs
542505,4797135,20170314,46408,ht,0.0271,0.0414,0.0252,0,abs
542515,4797135,20170314,46409,ht,0.0295,0.0411,0.0259,0,abs
542525,4797135,20170314,46410,ht,0.0289,0.0392,0.0256,0,abs
542535,4797135,20170314,46411,ht,0.0273,0.0391,0.0248,0,abs
542545,4797135,20170314,46412,ht,0.0274,0.0406,0.0243,0,abs
542555,4797135,20170314,46413,ht,0.0289,0.0409,0.0253,0,abs
542565,4797135,20170314,46414,ht,0.0274,0.0416,0.0264,0,abs
